,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,Thresh
56,wind_speed+Temp+VWC+Sedge+Shrub,46.40267346187625,5,18,73,5.802615046188897,0.5890026343823892,1,52.205288508065145
57,wind_speed+Temp+VWC+Sedge+Grass,47.06570105776848,5,19,73,6.542526754709705,0.5831300719864452,1,53.608227812478184
58,wind_speed+Temp+VWC+Sedge+Out_of_Basin,50.45297895444598,5,20,73,7.216835719498206,0.5531283029441292,0,57.66981467394419
59,wind_speed+Temp+VWC+Sedge+Upland,50.65356307321792,5,21,73,6.127818150998007,0.5513516909894811,0,56.78138122421593
60,Temp+VWC+Sedge+Shrub+Grass,50.27099563851818,5,22,73,6.5109995061029,0.5547401640256708,0,56.78199514462108
61,Temp+VWC+Sedge+Shrub+Out_of_Basin,49.1133996751116,5,23,73,5.607139500259751,0.5649932131695001,0,54.72053917537135
62,Temp+VWC+Sedge+Shrub+Upland,48.36671105886353,5,24,73,5.80515563880554,0.571606777245,0,54.17186669766907
63,Temp+VWC+Sedge+Grass+Out_of_Basin,50.08220178497731,5,25,73,5.810728309653621,0.5564123473431652,0,55.89293009463093
64,Temp+VWC+Sedge+Grass+Upland,48.9404211328481,5,26,73,5.510442271016879,0.5665253172461561,0,54.45086340386498
65,Temp+VWC+Sedge+Out_of_Basin+Upland,50.097638043499344,5,27,73,6.518297112381814,0.5562756254451746,0,56.61593515588116
66,PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub,44.660707304230236,6,0,62,5.118990443918869,0.6044315622517231,0,49.779697748149104
67,PPFD_Avg+wind_speed+Temp+VWC+Sedge+Shrub,43.279257804168864,6,1,62,6.191711708937541,0.6166673250408102,1,49.470969513106404
68,PPFD_Avg+wind_speed+Temp+VWC+Sedge+Grass,45.428296109540256,6,2,62,7.270343719376748,0.5976328811990208,0,52.698639828917
69,AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub,46.39336907146665,6,3,62,5.248746290019221,0.5890850451501688,0,51.64211536148587
70,AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub,43.95596967303911,6,4,62,6.3415647693852275,0.6106735584183689,0,50.297534442424336
